,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Vacuole,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Cell_wall,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Vacuole,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Cell_wall,Kd,int_stoich,fb_pred,Kd_pred,Kd_pred_RF,fb_pred_RF
6769,YDL180W,YLR319C,7.047291157390013,11.187877759900031,0.5399200747491576,0.0,0.0,5.0,0.556,0.889,0.0,1.816,5.0,0.0,0.0,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.890228971897598,-1.6317281563139268,-1.6764607,-5.76783,-5.888292116686307,-1.5658586641440062
6770,YLR319C,YOR175C,11.187877759900031,57.83974908440005,0.6550894301707488,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.419,5.0,2.264,5.0,1.918,2.896,1.586,1.732,0.916,1.246,-5.377166681246498,-1.7024168680519962,-1.8545479,-5.87261,-5.349428605733205,-1.7385552201081105
6771,YLR319C,YNL219C,11.187877759900031,60.85923792240003,0.7781032087418938,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.354,4.418,1.63,4.384,0.992,2.503,1.106,0.747,0.51,1.496,-5.4520919952521805,-1.63492948709335,-1.8135101,-5.97336,-5.458692507698068,-1.6166878997952188
6772,YLR319C,YMR230W,11.187877759900031,1091.2600555399997,0.2330294218630321,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,2.721,5.0,1.635,0.885,0.0,0.0,0.601,0.0,0.0,0.0,-4.407403051151643,-2.6719395172149616,-2.2014873,-5.2708426,-4.632545331775489,-2.51936740464712
6773,YLR319C,YNL130C,11.187877759900031,85.88257940320004,0.5973232788396748,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.101,5.0,5.0,5.0,5.0,2.951,0.791,0.889,0.0,1.039,-4.934114841501425,-2.132234051004445,-1.73525,-5.4652033,-5.189235554304802,-1.915443340896024
6774,YLR319C,YER014W,11.187877759900031,27.925668028999983,0.2718232322297232,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.608,5.0,5.0,0.972,0.0,1.138,0.785,0.818,0.581,0.946,-5.427493430625611,-1.6631819197273527,-1.780542,-6.065979,-5.552325956697178,-1.496641344440926
6775,YLR319C,YGL095C,11.187877759900031,15.590201199400008,0.860658138737862,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,2.762,5.0,1.284,1.554,5.0,1.867,3.941,0.701,1.198,1.189,-5.4776537298914505,-1.607409431992229,-1.5379502,-5.6357913,-5.617678469306814,-1.523610857928812
6776,YOL103W,YLR319C,53.66283908329989,11.187877759900031,0.6853400564413401,0.0,0.619,4.278,0.937,0.819,0.679,5.0,4.194,0.601,0.0,0.936,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.529615068212104,-1.679309850703606,-1.636117,-5.733939,-5.664191155627302,-1.5587282649760084
6777,YLR319C,YHR045W,11.187877759900031,37.69801279509999,0.6947074780789784,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,0.0,4.25,0.722,4.156,0.333,1.611,0.0,0.557,0.0,0.0,-5.598022881363459,-1.4923373732975185,-1.7874796,-6.02534,-5.6741695197720325,-1.4377317535953988
6778,YNR039C,YLR319C,11.53172961350003,11.187877759900031,0.7209231604579684,0.0,1.294,5.0,1.395,5.0,1.212,2.323,1.781,0.0,0.0,1.115,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.7053399296115215,-1.4331325185864987,-1.534555,-6.2733088,-5.918816422517917,-1.4196323829090562
